Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Czech Republic,8979.09,9248.55,9529.22,9820.9,10122.34,10434.45,10758.56,11088.33,11428.84,11781.66,11616.98,10272.01,10209.54,10205.24,10498.35,11158.33,11643.08,11586.32,11559.19,11736.8,12251.33,12630.54,12857.29,13317.27,13958.9,14842.2,15808.13,16589.08,16887.13,15980.07,16292.84,16547.47,16386.47,16279.46,16693.64,17551.22,17954.18,18712.59,19225.41,19702.54,18603.96,19246.17,19714.53,19722.27,20272.66,20877.1,21452.43,22010.75,22539.54
Democratic Republic of Congo,928.41,924.87,895.38,884.96,908.12,884.85,898.61,893.59,869.27,831,751.06,664.67,575.94,481.75,447.15,432.12,418.9,388.21,372.89,345.99,312.31,296.37,295.78,303.16,314.14,323.24,329.69,339.06,348.42,346.54,358.71,370.17,382.88,401.21,424.27,438.55,434.15,435.6,446.33,451.26,444.71,455.45,468.25,482.84,499.84,518.01,535.29,552.94,570.11
Denmark,32073.64,31869.04,33067.57,33949.33,35382.23,36783.94,38536.32,38585.4,38561.41,38786.94,39295.13,39739.2,40383.38,40255.42,42261.78,43316.55,44323.2,45581.54,46424.75,47637.34,49262.22,49492.89,49566.93,49630.62,50827.7,51873.42,53727.73,53967.87,53366.08,50469.91,51179.95,51645.48,51558.74,51811.13,52370.14,53210.39,54505.15,55229.23,56199.8,57215.52,55809.78,58264.03,60222.66,60469.59,60994.64,61898.1,62869.46,63808.74,64698.5
Djibouti,2779.35,2711.01,2669.14,2600.29,2583.5,2527.01,2406.98,2342.38,2326.78,2136.69,1416.12,1240.38,1324.86,1421.85,1355.79,1415.85,1307.36,1312.02,1249.7,1235.67,1201.44,1181.38,1179.82,1262.48,1366.35,1391.06,1538.31,1579.78,1624.11,1810.5,1979.62,2184.62,2416.53,2677.81,2803.28,2952.31,3088.11,3175.62,3284.3,3393.03,3362.6,3481.08,3535.35,3647.29,3792.96,4013.26,4244.39,4486.21,4742.06
Dominica,2936,3270.24,3391.66,3456.22,3615.52,3711.23,4013.82,4300.51,4667.66,4713.52,5004.41,5063.69,5154.95,5255.86,5220.36,5340.96,5539.76,5718.17,5954.55,5949.6,6048.38,6011.47,5814.8,6166.99,6337.54,6362.15,6647.31,7056.96,7545.19,7441.94,7476.27,7443.61,7348.97,7259.6,7565.68,7346.27,7518.76,6995.72,7143.18,7537.6,6279.24,6693.25,7022.68,7307.96,7623.16,7912.56,8106.34,8276.75,8425.88
Dominican Republic,2774.84,2826.87,2809.54,2874.68,2848.97,2730.56,2769.24,2988.51,2993.18,3065.08,2844.73,2820.63,3084.12,3259.59,3293.99,3427.69,3575.61,3833.26,4028.03,4202.5,4332.12,4372.17,4501.3,4376.82,4426.29,4777.31,5145.98,5455.66,5559.32,5542.55,5932.55,6045.33,6136.11,6361.65,6735,7124.95,7520.8,7791.87,8252.97,8588.39,7935.02,8824.09,9169.35,9523.18,9838.94,10211.61,10588.72,10977.39,11380.33
Ecuador,4266.53,4383.92,4292.37,4164.58,4161.41,4212.59,4246.36,4127.05,4259.07,4193.12,4233.74,4368.05,4408.05,4411.48,4491.22,4489.23,4463.61,4551.75,4599.74,4303.99,4288.92,4396.41,4505.82,4541.1,4805.82,4951.25,5074.66,5105.86,5347.4,5297.01,5403.11,5744.06,5981.91,6190.08,6336.38,6257.12,6098.75,6162.82,6163.84,6091.63,5550.28,5718.1,5819.79,5889.64,5967.73,6073.61,6174.56,6278.48,6384.16
Egypt,1490.52,1543.5,1641.25,1673.17,1781.12,1827.72,1857.26,1897.6,1969.46,2034.05,2109.49,2094.52,2156.36,2187.17,2241.43,2311.61,2391.33,2472.25,2557.88,2658.34,2770.82,2810.93,2818.54,2847.28,2902.34,2970.5,3108.83,3258.6,3415.13,3493.55,3586.5,3559.57,3546.84,3532.54,3543.4,3604.65,3667.16,3727.09,3831.58,3950.71,4012.79,4068.91,4264.04,4361.21,4473.93,4621.58,4802.37,4977.78,5144.85
El Salvador,2871.73,2600.45,2458.12,2470.05,2466.55,2440.68,2400.46,2414.21,2415.29,2396.9,2470.89,2466.1,2594.36,2722.33,2819.46,2908.97,2889.84,2943.45,2983.43,3008.8,3012.05,3022.75,3063.71,3105.48,3129.2,3207.46,3343.19,3402.16,3476.34,3392.3,3456.31,3577.92,3649.02,3676.81,3704.75,3777.06,3846.59,3898.47,3952.93,4009.89,3665.99,4046.13,4125.65,4180.28,4231.64,4326.78,4421.18,4518.26,4622.07
Equatorial Guinea,515.94,514.05,500.14,500.47,481.33,525.8,500.53,509.28,509.16,489.61,468.16,450.89,591.05,638.32,724.23,827.34,1339.87,3255.7,3916.54,4782.77,5493.47,8719.13,10119.2,11205.1,15028.57,17056.41,17862.86,20029.32,22955.34,22640.03,20072.62,20821.44,21968.23,20521.47,20085.87,17800.37,15831.18,14571.28,13318.57,12279.51,11233.3,11098.83,11191.56,10473.01,10145.72,10065.66,9998.12,9939.88,9891.58
